Starting sensor readings... Press CTRL+C to stop
2025-03-20 22:22:04 - 1 - 100 cm
2025-03-20 22:22:04 - 2 - 100 cm
2025-03-20 22:22:04 - 3 - 100 cm
2025-03-20 22:22:04 - 4 - 100 cm
2025-03-20 22:22:04 - 5 - 100 cm
2025-03-20 22:22:04 - 6 - 100 cm
2025-03-20 22:22:06 - 1 - 100 cm
2025-03-20 22:22:06 - 2 - 100 cm
2025-03-20 22:22:06 - 3 - 100 cm
2025-03-20 22:22:06 - 4 - 100 cm
2025-03-20 22:22:06 - 5 - 100 cm
2025-03-20 22:22:06 - 6 - 100 cm
2025-03-20 22:22:08 - 1 - 100 cm
2025-03-20 22:22:08 - 2 - 100 cm
2025-03-20 22:22:08 - 3 - 100 cm
2025-03-20 22:22:08 - 4 - 100 cm
2025-03-20 22:22:08 - 5 - 100 cm
2025-03-20 22:22:08 - 6 - 100 cm
2025-03-20 22:22:09 - 1 - 100 cm
2025-03-20 22:22:09 - 2 - 100 cm
2025-03-20 22:22:09 - 3 - 100 cm
2025-03-20 22:22:09 - 4 - 100 cm
2025-03-20 22:22:09 - 5 - 100 cm
2025-03-20 22:22:09 - 6 - 100 cm
2025-03-20 22:22:11 - 1 - 100 cm
2025-03-20 22:22:11 - 2 - 100 cm
2025-03-20 22:22:11 - 3 - 100 cm
2025-03-20 22:22:11 - 4 - 100 cm
2025-03-20 22:22:11 - 5 - 100 cm
2025-03-20 22:22:11 - 6 - 100 cm
2025-03-20 22:22:13 - 1 - 100 cm
2025-03-20 22:22:13 - 2 - 100 cm
2025-03-20 22:22:13 - 3 - 100 cm
2025-03-20 22:22:13 - 4 - 100 cm
2025-03-20 22:22:13 - 5 - 100 cm
2025-03-20 22:22:13 - 6 - 100 cm
2025-03-20 22:22:15 - 1 - 100 cm
2025-03-20 22:22:15 - 2 - 100 cm
2025-03-20 22:22:15 - 3 - 100 cm
2025-03-20 22:22:15 - 4 - 100 cm
2025-03-20 22:22:15 - 5 - 100 cm
2025-03-20 22:22:15 - 6 - 100 cm
2025-03-20 22:22:16 - 1 - 100 cm
2025-03-20 22:22:16 - 2 - 100 cm
2025-03-20 22:22:16 - 3 - 100 cm
2025-03-20 22:22:16 - 4 - 100 cm
2025-03-20 22:22:16 - 5 - 100 cm
2025-03-20 22:22:16 - 6 - 100 cm
2025-03-20 22:22:18 - 1 - 100 cm
